# Light Pollution Monitoring Data Format 1.0
# URL: http://www.darksky.org/measurements
# Number of header lines: 42
# This data is released under the following license: ODbL 1.0 http://opendatacommons.org/licenses/odbl/summary/
# Device type: SQM-LU-DL-R2
# Instrument ID: 
# Data supplier: 
# Location name: Karskov
# Position (lat, lon, elev(m)): 37, 54, 0
# Local timezone: Europe/Copenhagen
# Time Synchronization: EUROPE/BERLIN
# Moving / Stationary position: STATIONARY
# Moving / Fixed look direction: FIXED
# Number of channels: 1
# Filters per channel: 
# Measurement direction per channel: 
# Field of view (degrees): 
# Number of fields per line: 6
# SQM serial number: 7109
# SQM hardware identity: B003BNCX
# SQM firmware version: 4-6-82
# SQM cover offset value: 
# SQM readout test ix (Information): i,00000004,00000006,00000082,00007109
# SQM readout test rx (Reading): r, 08.75m,0000029620Hz,0000000000c,0000000.000s, 022.8C
# SQM readout test cx (Calibration): c,00000019.93m,0000167.535s, 019.3C,00000008.71m, 018.6C
# SQM readout test Ix (Report Interval): 0000000000s,0000000000s,00000000.00m,00000000.00m
# DL time difference (seconds): -1
# DL retrieved at (UTC): 2024-06-12T15:06:36.405
# DL trigger seconds : 0
# DL trigger minutes : 5
# DL trigger threshold : 0
# Comment: 
# Comment: 
# Comment: 
# Comment: 
# Comment: 
# UDM version: 1.0.0.344
# UDM setting: Logged continuously every 1 minute on the minute,Threshold = 0 mpsas.
# blank line
# UTC Date & Time, Local Date & Time, Temperature, Counts, Frequency, MSAS
# YYYY-MM-DDTHH:mm:ss.fff;YYYY-MM-DDTHH:mm:ss.fff;Celsius;number;Hz;mag/arcsec^2
# END OF HEADER
2024-06-12T16:44:36.359;2024-06-12T18:44:36.359;;;;
2024-06-12T16:46:17.096;2024-06-12T18:46:17.096;;;;
2024-06-12T16:47:37.781;2024-06-12T18:47:37.781;;;;
2024-06-12T16:48:01.060;2024-06-12T18:48:01.060;;;;
2024-06-12T16:49:21.955;2024-06-12T18:49:21.956;;;;
2024-06-12T16:49:43.756;2024-06-12T18:49:43.756;;;;
2024-06-12T16:51:05.407;2024-06-12T18:51:05.407;;;;
2024-06-12T16:52:21.033;2024-06-12T18:52:21.033;;;;
2024-06-12T16:53:41.826;2024-06-12T18:53:41.826;;;;
2024-06-12T16:54:04.350;2024-06-12T18:54:04.350;;;;
2024-06-12T16:54:26.540;2024-06-12T18:54:26.540;;;;
2024-06-12T16:56:07.710;2024-06-12T18:56:07.710;;;;
2024-06-12T16:56:29.726;2024-06-12T18:56:29.726;;;;
2024-06-12T16:58:10.704;2024-06-12T18:58:10.704;;;;
2024-06-12T16:58:33.515;2024-06-12T18:58:33.515;;;;
2024-06-12T17:00:14.740;2024-06-12T19:00:14.740;;;;
2024-06-12T17:00:36.951;2024-06-12T19:00:36.951;;;;
2024-06-12T17:02:17.914;2024-06-12T19:02:17.914;;;;
2024-06-12T17:02:39.871;2024-06-12T19:02:39.871;;;;
2024-06-12T17:04:01.093;2024-06-12T19:04:01.093;;;;
2024-06-12T17:05:21.891;2024-06-12T19:05:21.891;;;;
2024-06-12T17:05:44.570;2024-06-12T19:05:44.570;;;;
2024-06-12T17:07:05.005;2024-06-12T19:07:05.005;;;;
2024-06-12T17:08:26.005;2024-06-12T19:08:26.005;;;;
2024-06-12T17:09:47.010;2024-06-12T19:09:47.010;;;;
2024-06-12T17:11:08.278;2024-06-12T19:11:08.278;;;;
2024-06-12T17:12:21.815;2024-06-12T19:12:21.815;;;;
2024-06-12T17:13:03.301;2024-06-12T19:13:03.301;;;;
2024-06-12T17:14:24.417;2024-06-12T19:14:24.417;;;;
2024-06-12T17:15:07.276;2024-06-12T19:15:07.276;;;;
2024-06-12T17:16:28.020;2024-06-12T19:16:28.020;;;;
2024-06-12T17:16:50.783;2024-06-12T19:16:50.783;;;;
2024-06-12T17:18:11.618;2024-06-12T19:18:11.618;;;;
2024-06-12T17:18:58.635;2024-06-12T19:18:58.635;;;;
2024-06-12T17:20:19.440;2024-06-12T19:20:19.440;;;;
2024-06-12T17:21:01.601;2024-06-12T19:21:01.601;;;;
2024-06-12T17:21:24.337;2024-06-12T19:21:24.337;;;;
2024-06-12T17:22:46.914;2024-06-12T19:22:46.914;;;;
2024-06-12T17:24:07.621;2024-06-12T19:24:07.621;;;;
2024-06-12T17:24:30.327;2024-06-12T19:24:30.327;;;;
2024-06-12T17:26:11.553;2024-06-12T19:26:11.553;;;;
2024-06-12T17:26:34.248;2024-06-12T19:26:34.248;;;;
2024-06-12T17:28:15.954;2024-06-12T19:28:15.954;;;;
2024-06-12T17:28:38.104;2024-06-12T19:28:38.104;;;;
2024-06-12T17:30:11.047;2024-06-12T19:30:11.047;;;;
2024-06-12T17:31:32.046;2024-06-12T19:31:32.046;;;;
2024-06-12T17:31:54.529;2024-06-12T19:31:54.529;;;;
2024-06-12T17:33:15.701;2024-06-12T19:33:15.701;;;;
2024-06-12T17:33:37.961;2024-06-12T19:33:37.961;;;;
2024-06-12T17:35:18.927;2024-06-12T19:35:18.927;;;;
2024-06-12T17:35:40.839;2024-06-12T19:35:40.839;;;;
2024-06-12T17:37:02.047;2024-06-12T19:37:02.047;;;;
2024-06-12T17:37:24.654;2024-06-12T19:37:24.654;;;;
2024-06-12T17:39:05.821;2024-06-12T19:39:05.821;;;;
2024-06-12T17:39:07.771;2024-06-12T19:39:07.771;;;;
2024-06-12T17:41:08.942;2024-06-12T19:41:08.942;;;;
2024-06-12T17:41:32.904;2024-06-12T19:41:32.905;;;;
2024-06-12T17:43:14.544;2024-06-12T19:43:14.544;;;;
2024-06-12T17:43:36.693;2024-06-12T19:43:36.693;;;;
2024-06-12T17:45:17.788;2024-06-12T19:45:17.788;;;;
2024-06-12T17:45:39.817;2024-06-12T19:45:39.817;;;;
2024-06-12T17:47:00.975;2024-06-12T19:47:00.975;;;;
2024-06-12T17:47:23.351;2024-06-12T19:47:23.351;;;;
2024-06-12T17:49:04.679;2024-06-12T19:49:04.679;;;;
2024-06-12T17:49:26.537;2024-06-12T19:49:26.537;;;;
2024-06-12T17:51:17.083;2024-06-12T19:51:17.083;;;;
2024-06-12T17:51:39.867;2024-06-12T19:51:39.867;;;;
2024-06-12T17:53:01.086;2024-06-12T19:53:01.086;;;;
2024-06-12T17:54:21.805;2024-06-12T19:54:21.805;;;;
2024-06-12T17:54:43.558;2024-06-12T19:54:43.558;;;;
2024-06-12T17:56:04.483;2024-06-12T19:56:04.483;;;;
