# Light Pollution Monitoring Data Format 1.0
# URL: http://www.darksky.org/measurements
# Number of header lines: 42
# This data is released under the following license: ODbL 1.0 http://opendatacommons.org/licenses/odbl/summary/
# Device type: SQM-LU-DL-R2
# Instrument ID: 
# Data supplier: 
# Location name: Karskov
# Position (lat, lon, elev(m)): 37, 54, 0
# Local timezone: Europe/Copenhagen
# Time Synchronization: EUROPE/BERLIN
# Moving / Stationary position: STATIONARY
# Moving / Fixed look direction: FIXED
# Number of channels: 1
# Filters per channel: 
# Measurement direction per channel: 
# Field of view (degrees): 
# Number of fields per line: 6
# SQM serial number: 0
# SQM hardware identity: B003BNCX
# SQM firmware version: 0-0-0
# SQM cover offset value: 
# SQM readout test ix (Information): 
# SQM readout test rx (Reading): 
# SQM readout test cx (Calibration): 
# SQM readout test Ix (Report Interval): 
# DL time difference: ???
# DL retrieved at (UTC): 2024-06-12T22:02:06.634
# DL trigger seconds : 0
# DL trigger minutes : 0
# DL trigger threshold : 0
# Comment: 
# Comment: 
# Comment: 
# Comment: 
# Comment: 
# UDM version: 1.0.0.344
# UDM setting: Logged continuously every 1 minute on the minute,Threshold = 0 mpsas.
# blank line
# UTC Date & Time, Local Date & Time, Temperature, Counts, Frequency, MSAS
# YYYY-MM-DDTHH:mm:ss.fff;YYYY-MM-DDTHH:mm:ss.fff;Celsius;number;Hz;mag/arcsec^2
# END OF HEADER
2024-06-12T23:20:13.096;2024-06-13T01:20:13.096;;;;
2024-06-12T23:21:34.416;2024-06-13T01:21:34.416;;;;
2024-06-12T23:22:35.915;2024-06-13T01:22:35.915;;;;
2024-06-12T23:23:37.375;2024-06-13T01:23:37.375;;;;
2024-06-12T23:24:57.959;2024-06-13T01:24:57.959;;;;
2024-06-12T23:25:59.245;2024-06-13T01:25:59.245;;;;
2024-06-12T23:27:00.403;2024-06-13T01:27:00.403;;;;
2024-06-12T23:28:01.807;2024-06-13T01:28:01.807;;;;
2024-06-12T23:29:02.535;2024-06-13T01:29:02.535;;;;
2024-06-12T23:29:47.421;2024-06-13T01:29:47.421;;;;
2024-06-12T23:31:07.906;2024-06-13T01:31:07.906;;;;
2024-06-12T23:32:08.733;2024-06-13T01:32:08.733;;;;
2024-06-12T23:33:10.081;2024-06-13T01:33:10.081;;;;
2024-06-12T23:34:11.483;2024-06-13T01:34:11.483;;;;
2024-06-12T23:35:14.084;2024-06-13T01:35:14.084;;;;
2024-06-12T23:36:34.906;2024-06-13T01:36:34.906;;;;
2024-06-12T23:37:36.294;2024-06-13T01:37:36.294;;;;
2024-06-12T23:38:56.988;2024-06-13T01:38:56.988;;;;
2024-06-12T23:40:17.640;2024-06-13T01:40:17.640;;;;
2024-06-12T23:41:19.150;2024-06-13T01:41:19.150;;;;
2024-06-12T23:42:20.389;2024-06-13T01:42:20.389;;;;
2024-06-12T23:43:41.096;2024-06-13T01:43:41.096;;;;
2024-06-12T23:45:01.897;2024-06-13T01:45:01.897;;;;
2024-06-12T23:45:45.367;2024-06-13T01:45:45.367;;;;
2024-06-12T23:47:05.794;2024-06-13T01:47:05.794;;;;
2024-06-12T23:48:06.651;2024-06-13T01:48:06.651;;;;
2024-06-12T23:49:08.374;2024-06-13T01:49:08.374;;;;
2024-06-12T23:50:09.799;2024-06-13T01:50:09.799;;;;
2024-06-12T23:51:10.556;2024-06-13T01:51:10.556;;;;
2024-06-12T23:52:11.382;2024-06-13T01:52:11.382;;;;
2024-06-12T23:53:12.372;2024-06-13T01:53:12.372;;;;
2024-06-12T23:54:13.958;2024-06-13T01:54:13.958;;;;
2024-06-12T23:55:34.636;2024-06-13T01:55:34.636;;;;
2024-06-12T23:56:35.889;2024-06-13T01:56:35.889;;;;
2024-06-12T23:57:37.466;2024-06-13T01:57:37.466;;;;
2024-06-12T23:58:38.843;2024-06-13T01:58:38.843;;;;
2024-06-12T23:59:40.066;2024-06-13T01:59:40.066;;;;
2024-06-13T00:01:00.930;2024-06-13T02:01:00.930;;;;
2024-06-13T00:02:02.058;2024-06-13T02:02:02.058;;;;
2024-06-13T00:03:03.271;2024-06-13T02:03:03.271;;;;
2024-06-13T00:04:24.095;2024-06-13T02:04:24.095;;;;
2024-06-13T00:05:44.747;2024-06-13T02:05:44.747;;;;
2024-06-13T00:06:45.476;2024-06-13T02:06:45.476;;;;
2024-06-13T00:07:46.694;2024-06-13T02:07:46.694;;;;
2024-06-13T00:08:48.011;2024-06-13T02:08:48.011;;;;
2024-06-13T00:10:08.657;2024-06-13T02:10:08.657;;;;
2024-06-13T00:10:57.822;2024-06-13T02:10:57.822;;;;
2024-06-13T00:12:18.841;2024-06-13T02:12:18.841;;;;
2024-06-13T00:13:20.180;2024-06-13T02:13:20.180;;;;
2024-06-13T00:14:40.846;2024-06-13T02:14:40.846;;;;
2024-06-13T00:15:42.275;2024-06-13T02:15:42.275;;;;
2024-06-13T00:16:43.430;2024-06-13T02:16:43.430;;;;
2024-06-13T00:17:44.711;2024-06-13T02:17:44.711;;;;
2024-06-13T00:18:45.772;2024-06-13T02:18:45.772;;;;
2024-06-13T00:19:46.582;2024-06-13T02:19:46.582;;;;
2024-06-13T00:20:48.190;2024-06-13T02:20:48.190;;;;
2024-06-13T00:21:51.059;2024-06-13T02:21:51.059;;;;
2024-06-13T00:22:52.415;2024-06-13T02:22:52.415;;;;
2024-06-13T00:23:53.359;2024-06-13T02:23:53.359;;;;
2024-06-13T00:24:54.385;2024-06-13T02:24:54.385;;;;
2024-06-13T00:26:15.036;2024-06-13T02:26:15.036;;;;
2024-06-13T00:27:16.523;2024-06-13T02:27:16.523;;;;
2024-06-13T00:28:17.694;2024-06-13T02:28:17.694;;;;
2024-06-13T00:29:18.615;2024-06-13T02:29:18.615;;;;
2024-06-13T00:30:12.868;2024-06-13T02:30:12.868;;;;
2024-06-13T00:31:13.596;2024-06-13T02:31:13.596;;;;
2024-06-13T00:32:14.495;2024-06-13T02:32:14.495;;;;
2024-06-13T00:33:16.107;2024-06-13T02:33:16.107;;;;
2024-06-13T00:34:36.585;2024-06-13T02:34:36.585;;;;
2024-06-13T00:35:37.556;2024-06-13T02:35:37.556;;;;
2024-06-13T00:36:38.796;2024-06-13T02:36:38.796;;;;
2024-06-13T00:37:39.674;2024-06-13T02:37:39.674;;;;
